148CeAnalysisResult
Energy Energy_Error Calculated_Area Calculated_Area_Error Numerical_Area Numerical_Area_Error Total_Peak_Area Total_Peak_Area_Error Sigma Sigma_error
165.5 2.98777 3.24134e+06 4.81637e+06 0 2126.38 0.000202781 2126.38 1 1.12041
296.689 2.10897 8.07697e+07 1.3909e+08 0.000202781 2126.38 0.000202781 2126.38 0.968705 0.775778
386.1 2.98777 2.95851e+06 3.92049e+06 0 1662.7 0 1662.7 1.25 1.12041
453.068 2.05338 4.00491 9.94943e+06 8.34698e-07 2231.19 8.34698e-07 2231.19 0.608185 0.902411
500.5 2.98777 1.65135e+06 2.18831e+06 0 2231.19 8.34698e-07 2231.19 1.25 1.12041
537.1 2.98777 43246.5 3.00556e+07 0 2231.19 8.34698e-07 2231.19 1.25 1.12041
559.8 2.98777 25984.5 1.80588e+07 0 2231.19 8.34698e-07 2231.19 1 1.12041
576.4 2.98777 1.32116e+06 1.75075e+06 0 1017.41 0 1017.41 1.25 1.12041
601.7 2.98777 115987 8.06092e+07 0 1017.41 0 1017.41 1.25 1.12041
